Country or Area,Year,co2_gigagrams,hfc_gigagrams,methane_gigagrams,pfc_gigagrams,sf6_gigagrams,n2o_gigagrams
Australia,2012,3.978.306.047,7.945.106.379,1.117.094.988,2.536.974.615,1.341.112.518,2.577.542.951
Australia,2011,3.981.613.872,7.512.150.105,1.102.747.423,259.250.564,1.341.366.201,2.520.109.362
Australia,2010,3.993.648.191,6.942.606.891,1.090.626.389,2.437.640.112,1.451.859.446,2.445.185.748
Australia,2009,3.986.687.713,6.353.309.697,1.108.065.324,3.078.866.559,143.230.925,248.979.032
Australia,2008,3.990.841.509,5.810.538.264,113592.76,3.811.356.105,1.584.000.936,2.554.677.744
Australia,2007,3.939.183.205,5.228.388.902,1.129.109.625,499.596.277,1.700.447.376,2.520.346.451
Australia,2006,3.859.693.355,4.645.725.869,1.127.042.423,5.890.959.238,1.808.369.254,2.579.591.364
Australia,2005,3.804.404.543,4.259.078.425,1.114.563.782,1.536.232.745,1.908.478.094,2.559.626.495
Australia,2004,3.766.698.639,3.631.988.043,1.113.002.355,1.469.480.859,2.177.829.442,2.574.788.365
Australia,2003,3.646.051.036,3.045.944.086,1.111.146.627,1.443.875.055,2.162.402.246,2.580.954.226
Australia,2002,3.582.962.618,2.489.712.525,1.146.049.823,1.481.291.287,2.122.523.515,2.650.042.861
Australia,2001,3.542.664.988,1.962.599.355,1.174.170.372,1.544.961.969,2.060.162.805,2.695.001.251
Australia,2000,3.466.208.507,1.374.625.331,1.150.362.995,1.103.547.038,1.998.500.551,2.547.774.581
Australia,1999,3.406.054.425,1.168.266.453,1.126.101.531,9.766.469.094,2.055.265.835,2.405.067.006
Australia,1998,3.311.232.263,8.465.457.857,1.138.825.203,1.423.754.976,2.340.926.523,2.307.008.313
Australia,1997,3.177.722.529,5.952.294.679,113.473.094,1.053.035.913,2.604.641.367,2.253.854.814
Australia,1996,3.095.242.626,347.133.584,1.102.488.711,1.209.294.925,2.826.617.467,2.160.093.803
Australia,1995,3.025.764.261,7.981.993.775,1.112.472.463,1.312.562.597,3.168.930.173,2.061.263.505
Australia,1994,291.375.934,8.121.840.448,1.093.474.497,1.855.815.281,2.962.770.796,1.954.446.772
Australia,1993,2.868.043.815,1.446.588,1.122.409.751,2.842.786.222,2.775.326.243,1.918.881.185
Australia,1992,2.825.301.556,1.053.936,1.143.970.991,3.946.926.917,2.587.687.055,1.857.736.439
Australia,1991,2.775.903.048,112.627.008,115.081.462,3.953.323.881,2.399.904.177,1.848.654.312
Australia,1990,2.761.375.504,112.627.008,1.151.843.421,3.950.125.399,2.211.992.291,1.835.420.979
Austria,2012,6.773.346.873,1.431.451.585,5.306.175.712,4.045.678,3.261.753.721,5.221.634.376
Austria,2011,7.035.369.785,1.349.001.695,5.393.543.082,6.007.083,3.215.297.746,5.282.995.404
Austria,2010,7.236.611.548,12.856.477,5.562.122.945,6.393.398,3.515.004.903,5.178.527.519
Austria,2009,6.756.775.633,1.134.263.607,5.642.348.343,286.404,357.535.455,5.417.429.389
Austria,2008,738.044.841,1.082.021.121,5.743.372.139,16.712.525,3.908.711.991,5.694.156.363
Austria,2007,7.398.007.174,1.042.647.839,5.866.548.055,183.719,3.842.159.438,5.510.220.565
Austria,2006,7.663.308.254,1.004.147.735,5.978.841.155,13.693.945,4.748.788.099,5.482.904.328
Austria,2005,7.939.293.686,9.973.659.353,6.099.426.938,1.250.427,5.171.232.593,5.449.044.758
Austria,2004,7.822.922.315,1.020.166.462,6.277.006.243,1.254.909,5.070.707.337,5.410.393.563
Austria,2003,7.780.099.197,9.525.147.712,6.447.662.129,10.219.542,5.755.780.813,6.105.654.465
Austria,2002,7.174.762.552,8.747.778.459,6.447.393.383,8.345.778.927,6.428.899.618,6.179.420.446
Austria,2001,7.002.931.183,7.738.646.494,654.500.524,9.002.663.927,6.596.879.117,6.176.765.578
Austria,2000,6.599.285.904,6.468.162.156,6.676.681.954,674.564,6.022.465.232,6.290.904.209
Austria,1999,6.534.317.335,6.324.772.603,6.823.581.189,64.192.525,7.089.835.181,6.393.869.367
Austria,1998,667.439.841,5.553.978.755,6.978.462.212,443.960.941,9.118.413.569,6.418.934.763
Austria,1997,6.716.248.996,4.609.931.782,7.119.090.457,9.648.288,1.138.809.574,6.299.941.774
Austria,1996,6.736.529.505,3.925.699.572,7.429.432.302,659.187,1.233.686.363,6.267.873.288
Austria,1995,6.392.404.007,3.396.410.101,7.651.931.535,683.865,1.153.197.256,6.606.365.153
Austria,1994,6.087.708.511,2.603.292.757,7.737.860.386,5.829.723,9.708.792.466,6.440.995.597
Austria,1993,604.821.679,2.370.064.882,7.972.226.788,5.256.522,7.799.276.494,5.960.220.865
Austria,1992,6.010.020.593,2.651.389.389,8.022.120.137,43.981.281,6.879.713.817,6.134.149.826
Austria,1991,6.560.205.162,2.472.932.613,8.304.629.904,1.030.484.331,6.438.151.141,6.529.380.712
Austria,1990,6.201.774.583,2.255.005.794,8.332.119.843,1.022.646.321,4.933.659.864,6.197.924.098
Belarus,2012,5.749.068.938,,153.905.419,,22.653.615,1.639.982.922
Belarus,2011,5.538.085.395,,154.763.028,,23.597.904,1.664.004.079
Belarus,2010,5.829.796.494,1.310.488,1.522.188.951,,24.199.706,1.589.051.749
Belarus,2009,5.680.856.531,3.219.523,1.496.870.654,,24.199.706,1.604.775.614
